199   2   1   1   1,00502512562814
199   7   1   1   1,00502512562814
198   2   1   1   1,01010101010101
198   7   1   1   1,01010101010101
197   2   1   1   1,01522842639594
197   4   1   1   1,01522842639594
196   2   1   1   1,02040816326531
196   4   1   1   1,02040816326531
196   6   1   1   1,02040816326531
195   2   1   1   1,02564102564103
195   6   1   1   1,02564102564103
194   2   1   1   1,03092783505155
193   2   1   1   1,03626943005181
193   3   1   1   1,03626943005181
193   7   1   1   1,03626943005181
192   2   1   1   1,04166666666667
191   2   1   1   1,04712041884817
191   4   1   1   1,04712041884817
190   2   1   1   1,05263157894737
190   6   1   1   1,05263157894737
189   2   1   1   1,05820105820106
189   4   1   1   1,05820105820106
189   4   1   1   1,05820105820106
188   2   1   1   1,06382978723404
187   2   1   1   1,06951871657754
186   2   1   1   1,0752688172043
186   4   1   1   1,0752688172043
186   5   1   1   1,0752688172043
185   2   1   1   1,08108108108108
185   4   1   1   1,08108108108108
185   7   1   1   1,08108108108108
184   2   1   1   1,08695652173913
183   2   1   1   1,09289617486339
183   2   1   1   1,09289617486339
182   2   1   1   1,0989010989011
182   3   1   1   1,0989010989011
182   4   1   1   1,0989010989011
181   2   1   1   1,10497237569061
181   4   1   1   1,10497237569061
180   2   1   1   1,11111111111111
180   4   1   1   1,11111111111111
179   2   1   1   1,11731843575419
179   4   1   1   1,11731843575419
179   6   1   1   1,11731843575419
179   4   1   1   1,11731843575419
179   4   1   1   1,11731843575419
179   6   1   1   1,11731843575419
178   2   1   1   1,12359550561798
178   3   1   1   1,12359550561798
178   4   1   1   1,12359550561798
177   2   1   1   1,12994350282486
176   2   1   1   1,13636363636364
176   5   1   1   1,13636363636364
176   6   1   1   1,13636363636364
175   2   1   1   1,14285714285714
175   3   1   1   1,14285714285714
174   2   1   1   1,14942528735632
174   4   1   1   1,14942528735632
173   2   1   1   1,15606936416185
173   3   1   1   1,15606936416185
173   6   1   1   1,15606936416185
172   2   1   1   1,16279069767442
171   2   1   1   1,16959064327485
170   2   1   1   1,17647058823529
169   2   1   1   1,18343195266272
169   3   1   1   1,18343195266272
169   6   1   1   1,18343195266272
168   2   1   1   1,19047619047619
168   5   1   1   1,19047619047619
167   2   1   1   1,19760479041916
167   4   1   1   1,19760479041916
167   7   1   1   1,19760479041916
166   2   1   1   1,20481927710843
166   4   1   1   1,20481927710843
165   2   1   1   1,21212121212121
165   3   1   1   1,21212121212121
164   2   1   1   1,21951219512195
164   6   1   1   1,21951219512195
164   7   1   1   1,21951219512195
163   2   1   1   1,22699386503067
163   4   1   1   1,22699386503067
163   4   1   1   1,22699386503067
163   6   1   1   1,22699386503067
163   4   1   1   1,22699386503067
162   2   1   1   1,23456790123457
162   7   1   1   1,23456790123457
